Algorithm,Final PDR,Cumulative Energy,Cumulative Reward,Cumulative Regret
TS,0.8108333333333333,119.32000000000001,853.6800000000001,42.10036107658672
UCB,0.7633333333333333,121.32000000000002,794.6800000000001,101.10036107658672
DVS,0.7591666666666667,120.81142857142858,790.1885714285714,105.5917896480153
D-UCB,0.7041666666666667,120.41714285714286,724.5828571428572,171.19750393372954
