Algorithm,Final PDR,Cumulative Energy,Cumulative Reward,Cumulative Regret
TS,0.6608333333333334,84.23174994329773,708.7682500567023,100.10827184818154
UCB,0.6766666666666666,109.58174988397872,702.4182501160212,106.45827178886255
DVS,0.66,122.15099985456668,669.8490001454334,139.02752175945048
D-UCB,0.6025,135.78224982266954,587.2177501773305,221.65877172755336
