Algorithm,Final PDR,Cumulative Energy,Cumulative Reward,Cumulative Regret
TS,0.14,228.50000000000006,-60.50000000000002,98.28591978569862
DVS,0.13416666666666666,237.5,-76.50000000000003,114.28591978569864
UCB,0.1275,252.20000000000005,-99.20000000000002,136.98591978569863
D-UCB,0.14333333333333334,310.55000000000007,-138.55,176.33591978569862
