Algorithm,Final PDR,Cumulative Energy,Cumulative Reward,Cumulative Regret
DVS,0.4275,277.636116455003,235.36388354499695,133.43745539294463
TS,0.395,252.52291873296613,221.4770812670338,147.32425767090777
UCB,0.45416666666666666,326.5632654290214,218.4367345709785,150.36460436696308
D-UCB,0.4191666666666667,339.3463208517416,163.6536791482584,205.14765978968322
